Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
110,7,0,0,7,2,RT @user: Feeling grateful for all the good things happening lately #truth
111,3,0,3,0,1,The whole thing is bloody BS and everyone knows it #truth
112,5,4,0,1,0,Every black person is dangerous and should be locked up
113,7,6,1,0,0,female people are subhuman and don't deserve rights
114,3,0,2,1,2,"My team won the game tonight, what an exciting match it was #smh"
115,3,0,3,0,1,You're a complete freaking loser with no life whatsoever #smh
116,7,0,7,0,1,@someone The whole thing is freaking BS and everyone knows it
117,7,0,5,2,1,That total idiot just cut me off in traffic again #truth
118,4,0,4,0,1,Go screw yourself with that effing nonsense you're spouting
119,6,0,1,5,2,The weather today is perfect for an outdoor afternoon walk
120,7,4,0,3,0,All gay people should be removed from society lol
121,6,0,5,1,1,I hate these bloody incompetent fools running everything lol
122,6,3,3,0,0,gay people are animals who can't behave in civilization wtf
123,4,0,2,2,1,That utter idiot just cut me off in traffic again lol
124,5,0,0,5,2,@someone Cooked a new recipe tonight and it turned out delicious lol
125,3,0,2,1,2,Had an amazing time at the concert last night with friends #truth
126,3,0,0,3,2,"My team won the game tonight, what an exciting match it was"
127,4,0,4,0,1,I hate these freaking incompetent fools running everything #truth
128,5,1,2,2,1,Are you seriously that dumb? Holy absolute crap wtf
129,5,0,0,5,2,Just watched a documentary that really changed my perspective
130,5,0,4,1,1,I hate these damn incompetent fools running everything
131,6,0,4,2,1,Are you seriously that dumb? Holy total crap wtf
132,7,0,2,5,2,Feeling grateful for all the good things happening lately
133,4,0,2,2,2,RT @user: Met up with old friends today and it was really wonderful
134,6,0,4,2,1,The whole thing is utter BS and everyone knows it
135,3,0,2,1,1,"You absolute freaking clown, get out of here already #truth"
136,5,0,0,5,2,"RT @user: Finally finished that long project, feeling a great sense of relief"
137,4,0,2,2,2,"@someone Looking forward to the weekend, planning to relax and recharge"
138,3,0,2,1,1,"What a damn joke, I can't stand these people anymore"
139,6,0,4,2,1,"What a stupid bloody move, I can't believe this crap"
140,7,0,2,5,2,Had an amazing time at the concert last night with friends #smh
141,3,0,1,2,2,Feeling grateful for all the good things happening lately
142,6,0,3,3,1,This entire situation is a complete disaster from the start
143,4,0,3,1,1,"You absolute freaking clown, get out of here already #truth"
144,3,0,2,1,1,The whole thing is freaking BS and everyone knows it
145,4,0,0,4,2,Feeling grateful for all the good things happening lately lol
146,3,0,3,0,1,"@someone Stop posting your complete garbage online, nobody cares #smh"
147,5,0,4,1,1,@someone Go screw yourself with that absolute nonsense you're spouting
148,4,1,2,1,1,You're a complete freaking loser with no life whatsoever
149,7,2,3,2,1,I hate these freaking incompetent fools running everything
150,3,0,2,1,1,Are you seriously that dumb? Holy utter crap
151,6,0,1,5,2,The sunset this evening was absolutely breathtaking and beautiful
152,5,0,5,0,1,@someone Are you seriously that dumb? Holy absolute crap
153,7,0,4,3,1,"RT @user: Stop posting your complete garbage online, nobody cares"
154,3,1,1,1,1,"You're embarrassing yourself, you bloody buffoon"
155,5,0,2,3,2,RT @user: Cooked a new recipe tonight and it turned out delicious wtf
156,3,0,1,2,2,The sunset this evening was absolutely breathtaking and beautiful wtf
157,7,0,2,5,2,RT @user: Had a productive meeting at work and things are looking good
158,5,2,2,1,1,That freaking idiot just cut me off in traffic again
159,5,0,2,3,2,Met up with old friends today and it was really wonderful lol
160,5,0,5,0,1,"That was the most complete thing I've ever seen, pathetic #truth"
161,3,0,1,2,1,"Shut the hell up you damn moron, nobody asked you"
162,4,0,4,0,1,"Shut the hell up you freaking moron, nobody asked you"
163,3,0,3,0,1,"@someone Shut the hell up you freaking moron, nobody asked you wtf"
164,3,0,2,1,1,You're a complete bloody loser with no life whatsoever #truth
165,6,1,3,2,1,"@someone Shut the hell up you freaking moron, nobody asked you"
166,6,0,0,6,2,RT @user: Had a productive meeting at work and things are looking good
167,4,0,2,2,2,The sunset this evening was absolutely breathtaking and beautiful #smh
168,3,0,1,2,2,RT @user: The new season of that show was absolutely incredible #truth
169,7,1,5,1,1,@someone You're a complete freaking loser with no life whatsoever lol
170,4,0,3,1,1,"RT @user: Shut the hell up you bloody moron, nobody asked you lol"
171,5,0,4,1,1,"Stop posting your utter garbage online, nobody cares"
172,4,0,2,2,2,"Looking forward to the weekend, planning to relax and recharge #truth"
173,3,0,0,3,2,"Looking forward to the weekend, planning to relax and recharge"
174,4,0,1,3,2,The weather today is perfect for an outdoor afternoon walk
175,5,0,5,0,1,"What a absolute joke, I can't stand these people anymore #truth"
176,7,0,0,7,2,Spending the day learning something new and it feels rewarding
177,4,0,4,0,1,This entire situation is a absolute disaster from the start
178,3,0,0,3,2,"My dog learned a new trick today, so proud of him"
179,5,0,0,5,2,"RT @user: Finally finished that long project, feeling a great sense of relief"
180,4,4,0,0,0,"RT @user: I hate every single gay person, they are disgusting"
181,3,1,1,1,1,RT @user: I hate these complete incompetent fools running everything #smh
182,6,0,3,3,1,@someone Go screw yourself with that effing nonsense you're spouting #smh
183,4,0,0,4,2,"Looking forward to the weekend, planning to relax and recharge"
184,7,0,7,0,1,"RT @user: What a freaking joke, I can't stand these people anymore #truth"
185,3,0,2,1,1,@someone You're a complete absolute loser with no life whatsoever
186,7,2,3,2,1,I hate these freaking incompetent fools running everything
187,7,6,0,1,0,@someone gay people are animals who can't behave in civilization
188,6,0,3,3,1,@someone That damn idiot just cut me off in traffic again
189,7,1,5,1,1,You're a complete absolute loser with no life whatsoever
190,7,0,0,7,2,"Finally finished that long project, feeling a great sense of relief"
191,6,2,3,1,1,RT @user: I hate these utter incompetent fools running everything wtf
192,5,1,3,1,1,"@someone Stop posting your freaking garbage online, nobody cares wtf"
193,7,3,3,1,1,The whole thing is freaking BS and everyone knows it
194,7,1,3,3,1,"@someone Shut the hell up you freaking moron, nobody asked you"
195,5,1,2,2,1,"@someone What a stupid damn move, I can't believe this crap wtf"
196,7,0,3,4,2,"Finally finished that long project, feeling a great sense of relief #truth"
197,7,0,5,2,1,@someone I hate these damn incompetent fools running everything #truth
198,5,0,1,4,2,Cooked a new recipe tonight and it turned out delicious wtf
199,5,0,4,1,1,RT @user: That freaking idiot just cut me off in traffic again
200,6,0,4,2,1,Are you seriously that dumb? Holy bloody crap
201,3,0,1,2,1,This entire situation is a freaking disaster from the start
202,4,1,2,1,1,@someone Are you seriously that dumb? Holy freaking crap
203,5,0,5,0,1,@someone You're a complete bloody loser with no life whatsoever
204,6,0,6,0,1,"What a stupid bloody move, I can't believe this crap wtf"
205,3,0,1,2,2,Just got back from a great hike in the mountains today
206,3,0,3,0,1,"Shut the hell up you absolute moron, nobody asked you #truth"
207,7,0,4,3,1,@someone This entire situation is a freaking disaster from the start #smh
208,3,0,2,1,2,Started a new gym routine and feeling more energetic already
209,5,0,2,3,2,"My team won the game tonight, what an exciting match it was"
210,3,0,2,1,1,That absolute idiot just cut me off in traffic again #smh
211,7,0,0,7,2,Working on a new project and feeling really inspired today #smh
212,6,0,6,0,1,@someone I hate these freaking incompetent fools running everything
213,3,0,3,0,1,"That was the most absolute thing I've ever seen, pathetic lol"
214,4,0,2,2,1,"Stop posting your freaking garbage online, nobody cares"
215,3,0,0,3,2,@someone The local farmers market had amazing fresh produce this morning
216,5,0,0,5,2,Met up with old friends today and it was really wonderful
217,7,0,7,0,1,"This is absolute garbage, what a bloody waste of time #truth"
218,3,0,1,2,1,You're a complete effing loser with no life whatsoever
219,3,0,3,0,1,"This is absolute garbage, what a freaking waste of time #smh"
220,3,0,2,1,2,@someone Had a productive meeting at work and things are looking good #smh
221,4,0,3,1,1,"What a stupid effing move, I can't believe this crap #truth"
222,7,0,3,4,1,RT @user: This entire situation is a effing disaster from the start
223,4,1,2,1,1,"This is absolute garbage, what a effing waste of time wtf"
224,3,2,1,0,0,@someone All jewish people should be removed from society #smh
225,4,0,3,1,1,That absolute idiot just cut me off in traffic again #truth
226,4,1,2,1,1,"@someone Shut the hell up you damn moron, nobody asked you #truth"
227,5,1,3,1,1,"Stop posting your absolute garbage online, nobody cares lol"
228,7,2,3,2,1,You're a complete effing loser with no life whatsoever wtf
229,5,0,0,5,2,Just finished reading a fantastic book I highly recommend #smh
230,3,0,3,0,1,That utter idiot just cut me off in traffic again #smh
231,5,0,2,3,2,Had an amazing time at the concert last night with friends
232,4,0,3,1,1,"That was the most absolute thing I've ever seen, pathetic"
233,4,0,4,0,1,"What a stupid absolute move, I can't believe this crap"
234,5,3,0,2,0,"RT @user: Death to all hindus, they ruin everything #smh"
235,5,3,2,0,0,@someone immigrant people are subhuman and don't deserve rights
236,7,0,6,1,1,"You absolute freaking clown, get out of here already"
237,3,0,2,1,1,"What a utter joke, I can't stand these people anymore"
238,5,0,2,3,1,That bloody idiot just cut me off in traffic again
239,7,0,6,1,1,"What a stupid damn move, I can't believe this crap lol"
240,3,0,3,0,1,@someone Are you seriously that dumb? Holy freaking crap #truth
241,4,0,1,3,2,The weather today is perfect for an outdoor afternoon walk
242,7,0,3,4,2,The local farmers market had amazing fresh produce this morning
243,7,0,2,5,2,"@someone Finally finished that long project, feeling a great sense of relief"
244,4,0,2,2,2,Had an amazing time at the concert last night with friends
245,3,0,1,2,1,"Stop posting your absolute garbage online, nobody cares wtf"
246,4,0,4,0,1,The whole thing is damn BS and everyone knows it lol
247,3,0,1,2,2,"My dog learned a new trick today, so proud of him lol"
248,6,0,3,3,2,RT @user: Spending the day learning something new and it feels rewarding
249,6,0,6,0,1,The whole thing is absolute BS and everyone knows it #truth
250,7,6,1,0,0,white people are parasites destroying our country
251,6,0,3,3,2,The sunset this evening was absolutely breathtaking and beautiful
252,4,0,0,4,2,@someone Spending the day learning something new and it feels rewarding
253,6,0,3,3,1,RT @user: That utter idiot just cut me off in traffic again #smh
254,7,0,0,7,2,"RT @user: My team won the game tonight, what an exciting match it was #smh"
255,4,0,1,3,2,"My team won the game tonight, what an exciting match it was #truth"
256,3,1,1,1,1,"RT @user: You're embarrassing yourself, you utter buffoon #truth"
257,7,0,7,0,1,You're a complete effing loser with no life whatsoever
258,3,0,0,3,2,RT @user: Met up with old friends today and it was really wonderful
259,5,3,0,2,0,All muslim people should be removed from society #truth
260,5,0,2,3,1,RT @user: That utter idiot just cut me off in traffic again #smh
261,3,0,2,1,1,Go screw yourself with that complete nonsense you're spouting #truth
262,7,0,2,5,2,@someone Had an amazing time at the concert last night with friends
263,4,0,3,1,1,RT @user: This entire situation is a complete disaster from the start wtf
264,4,0,3,1,1,"You absolute total clown, get out of here already"
265,4,0,2,2,2,The new season of that show was absolutely incredible lol
266,7,0,0,7,2,The sunset this evening was absolutely breathtaking and beautiful wtf
267,4,0,1,3,2,RT @user: Just got back from a great hike in the mountains today
268,7,0,1,6,2,The coffee shop around the corner makes the best lattes #smh
269,7,0,7,0,1,"Stop posting your freaking garbage online, nobody cares #smh"
270,4,0,1,3,2,Feeling grateful for all the good things happening lately
271,5,0,1,4,2,The local farmers market had amazing fresh produce this morning #truth
272,4,1,2,1,1,"What a stupid freaking move, I can't believe this crap"
273,6,0,4,2,1,"You're embarrassing yourself, you freaking buffoon"
274,6,0,0,6,2,The new season of that show was absolutely incredible wtf
275,3,1,2,0,0,I wish all female people would just disappear forever
276,7,0,6,1,1,"Shut the hell up you total moron, nobody asked you"
277,4,0,0,4,2,RT @user: Had a productive meeting at work and things are looking good wtf
278,5,1,2,2,1,Are you seriously that dumb? Holy absolute crap
279,6,0,5,1,1,"Shut the hell up you damn moron, nobody asked you #truth"
280,4,0,4,0,1,RT @user: You're a complete complete loser with no life whatsoever
281,3,0,3,0,1,The whole thing is freaking BS and everyone knows it lol
282,7,0,7,0,1,RT @user: I hate these total incompetent fools running everything
283,5,0,3,2,1,I hate these complete incompetent fools running everything lol
284,6,0,0,6,2,"RT @user: My team won the game tonight, what an exciting match it was"
285,7,0,4,3,1,"That was the most damn thing I've ever seen, pathetic"
286,6,0,3,3,1,@someone Go screw yourself with that absolute nonsense you're spouting
287,4,0,0,4,2,@someone Had an amazing time at the concert last night with friends
288,6,1,3,2,1,"@someone Stop posting your effing garbage online, nobody cares #smh"
289,6,0,6,0,1,"Shut the hell up you bloody moron, nobody asked you wtf"
290,4,0,1,3,2,Feeling grateful for all the good things happening lately #truth
291,3,0,1,2,1,@someone The whole thing is freaking BS and everyone knows it
292,4,0,1,3,2,Had an amazing time at the concert last night with friends
293,3,0,0,3,2,RT @user: Started a new gym routine and feeling more energetic already
294,7,0,7,0,1,The whole thing is bloody BS and everyone knows it
295,4,0,3,1,1,That damn idiot just cut me off in traffic again
296,4,1,2,1,1,That freaking idiot just cut me off in traffic again
297,4,0,3,1,1,@someone Are you seriously that dumb? Holy effing crap #smh
298,6,0,3,3,1,@someone You're a complete freaking loser with no life whatsoever
299,4,4,0,0,0,jewish people are parasites destroying our country
300,6,0,6,0,1,Are you seriously that dumb? Holy bloody crap #smh
301,7,0,6,1,1,"@someone You're embarrassing yourself, you bloody buffoon"
302,3,0,2,1,1,"This is absolute garbage, what a absolute waste of time #smh"
303,5,0,0,5,2,"My dog learned a new trick today, so proud of him #smh"
304,7,1,5,1,1,"RT @user: You're embarrassing yourself, you effing buffoon #smh"
305,3,0,2,1,2,Just finished reading a fantastic book I highly recommend #smh
306,7,0,6,1,1,"You absolute freaking clown, get out of here already #smh"
307,7,0,5,2,1,"What a stupid complete move, I can't believe this crap"
308,3,0,2,1,1,"That was the most bloody thing I've ever seen, pathetic"
309,7,1,5,1,1,This entire situation is a bloody disaster from the start wtf
310,6,2,3,1,1,RT @user: This entire situation is a bloody disaster from the start
311,3,0,3,0,1,You're a complete absolute loser with no life whatsoever wtf
312,6,0,0,6,2,Just got back from a great hike in the mountains today
313,4,0,3,1,1,@someone Go screw yourself with that freaking nonsense you're spouting lol
314,6,0,6,0,1,I hate these freaking incompetent fools running everything
315,7,0,3,4,1,"Stop posting your damn garbage online, nobody cares"
316,5,0,1,4,2,"My dog learned a new trick today, so proud of him #truth"
317,7,6,0,1,0,The world would be better without black people
318,7,0,0,7,2,"Looking forward to the weekend, planning to relax and recharge"
319,4,0,0,4,2,Had a productive meeting at work and things are looking good #smh
320,4,0,2,2,1,"What a stupid absolute move, I can't believe this crap"
321,7,0,6,1,1,"What a stupid freaking move, I can't believe this crap #smh"
322,6,0,3,3,2,Cooked a new recipe tonight and it turned out delicious
323,4,0,4,0,1,"RT @user: You absolute freaking clown, get out of here already #truth"
324,4,0,2,2,2,Just finished reading a fantastic book I highly recommend lol
325,3,0,3,0,1,This entire situation is a bloody disaster from the start
326,6,6,0,0,0,RT @user: The world would be better without gay people
327,6,0,2,4,2,RT @user: Just watched a documentary that really changed my perspective
328,6,0,5,1,1,@someone That damn idiot just cut me off in traffic again #smh
329,3,2,0,1,0,muslim people are subhuman and don't deserve rights
330,7,0,7,0,1,RT @user: You're a complete absolute loser with no life whatsoever
331,7,0,5,2,1,"Shut the hell up you damn moron, nobody asked you"
332,7,0,5,2,1,"Stop posting your total garbage online, nobody cares"
333,4,1,2,1,1,"Stop posting your total garbage online, nobody cares"
334,5,1,2,2,1,"What a complete joke, I can't stand these people anymore wtf"
335,7,0,6,1,1,RT @user: I hate these bloody incompetent fools running everything #smh
336,7,3,3,1,1,"You absolute effing clown, get out of here already #smh"
337,3,0,3,0,1,"RT @user: You're embarrassing yourself, you damn buffoon"
338,4,3,1,0,0,We need to eliminate hindu from our neighborhoods
339,6,0,3,3,2,Spending the day learning something new and it feels rewarding
340,4,1,2,1,1,Go screw yourself with that freaking nonsense you're spouting lol
341,3,1,1,1,1,"Shut the hell up you damn moron, nobody asked you"
342,7,0,5,2,1,Go screw yourself with that bloody nonsense you're spouting wtf
343,5,0,1,4,2,@someone The new season of that show was absolutely incredible
344,7,6,0,1,0,"I hate every single white person, they are disgusting #truth"
345,4,4,0,0,0,I wish all immigrant people would just disappear forever #smh
346,5,0,0,5,2,The weather today is perfect for an outdoor afternoon walk wtf
347,3,1,1,1,1,"This is absolute garbage, what a total waste of time"
348,7,0,7,0,1,"You absolute absolute clown, get out of here already"
349,5,0,2,3,2,Met up with old friends today and it was really wonderful
350,7,0,0,7,2,RT @user: The new season of that show was absolutely incredible #smh
351,7,0,6,1,1,"What a stupid complete move, I can't believe this crap lol"
352,6,2,3,1,1,RT @user: You're a complete freaking loser with no life whatsoever
353,4,0,4,0,1,Go screw yourself with that freaking nonsense you're spouting wtf
354,4,3,0,1,0,jewish people are animals who can't behave in civilization wtf
355,3,0,3,0,1,"What a absolute joke, I can't stand these people anymore"
356,5,0,5,0,1,"Stop posting your damn garbage online, nobody cares"
357,7,0,0,7,2,Feeling grateful for all the good things happening lately
358,5,0,5,0,1,"What a stupid freaking move, I can't believe this crap"
359,5,0,5,0,1,RT @user: Go screw yourself with that utter nonsense you're spouting #truth
360,3,0,3,0,1,The whole thing is damn BS and everyone knows it
361,7,0,1,6,2,"@someone My team won the game tonight, what an exciting match it was"
362,3,1,2,0,0,jewish people are subhuman and don't deserve rights #truth
363,6,1,4,1,1,RT @user: This entire situation is a freaking disaster from the start #smh
364,3,0,2,1,2,Working on a new project and feeling really inspired today #smh
365,5,0,2,3,2,The sunset this evening was absolutely breathtaking and beautiful
366,4,0,1,3,2,Just watched a documentary that really changed my perspective
367,4,0,4,0,1,"Shut the hell up you damn moron, nobody asked you"
368,4,0,4,0,1,This entire situation is a damn disaster from the start
369,4,0,2,2,1,RT @user: The whole thing is freaking BS and everyone knows it
370,7,0,6,1,1,"@someone That was the most complete thing I've ever seen, pathetic #truth"
371,5,0,1,4,2,@someone The new season of that show was absolutely incredible
372,5,1,3,1,1,"You're embarrassing yourself, you damn buffoon lol"
373,3,0,2,1,1,@someone Are you seriously that dumb? Holy absolute crap lol
374,4,0,2,2,2,"Finally finished that long project, feeling a great sense of relief #smh"
375,6,0,0,6,2,"RT @user: Looking forward to the weekend, planning to relax and recharge #truth"
376,5,0,2,3,2,Met up with old friends today and it was really wonderful wtf
377,4,0,4,0,1,"@someone You absolute complete clown, get out of here already"
378,6,0,2,4,2,The sunset this evening was absolutely breathtaking and beautiful lol
379,7,0,6,1,1,"You absolute absolute clown, get out of here already"
380,7,0,3,4,2,The local farmers market had amazing fresh produce this morning #smh
381,3,0,0,3,2,@someone The coffee shop around the corner makes the best lattes
382,5,0,1,4,2,"RT @user: Finally finished that long project, feeling a great sense of relief lol"
383,4,0,0,4,2,@someone Met up with old friends today and it was really wonderful lol
384,3,0,0,3,2,"My team won the game tonight, what an exciting match it was wtf"
385,6,1,3,2,1,"@someone You absolute bloody clown, get out of here already"
386,4,0,0,4,2,Cooked a new recipe tonight and it turned out delicious #truth
387,4,0,2,2,1,RT @user: You're a complete freaking loser with no life whatsoever #truth
388,7,0,3,4,2,Just watched a documentary that really changed my perspective #truth
389,4,0,3,1,1,"@someone That was the most bloody thing I've ever seen, pathetic #smh"
390,5,0,1,4,2,"My dog learned a new trick today, so proud of him #truth"
391,6,1,4,1,1,I hate these complete incompetent fools running everything wtf
392,6,0,1,5,2,Just watched a documentary that really changed my perspective #truth
393,6,0,3,3,2,"Finally finished that long project, feeling a great sense of relief #truth"
394,7,0,3,4,2,Had an amazing time at the concert last night with friends
395,7,0,7,0,1,You're a complete absolute loser with no life whatsoever
396,4,0,4,0,1,I hate these freaking incompetent fools running everything wtf
397,7,4,3,0,0,jewish people are subhuman and don't deserve rights #truth
398,4,0,0,4,2,The sunset this evening was absolutely breathtaking and beautiful
399,5,0,0,5,2,The local farmers market had amazing fresh produce this morning
400,7,0,7,0,1,@someone That freaking idiot just cut me off in traffic again
401,3,0,2,1,2,RT @user: Spending the day learning something new and it feels rewarding
402,3,0,3,0,1,"@someone What a freaking joke, I can't stand these people anymore"
403,6,0,6,0,1,RT @user: You're a complete bloody loser with no life whatsoever
404,4,0,4,0,1,RT @user: I hate these bloody incompetent fools running everything
405,7,0,2,5,2,RT @user: The coffee shop around the corner makes the best lattes #smh
406,4,0,0,4,2,@someone Cooked a new recipe tonight and it turned out delicious lol
407,5,0,5,0,1,"You're embarrassing yourself, you complete buffoon"
408,6,0,4,2,1,"What a stupid damn move, I can't believe this crap"
409,4,4,0,0,0,christian people are parasites destroying our country lol
410,5,1,2,2,1,"RT @user: Shut the hell up you freaking moron, nobody asked you"
411,4,0,3,1,1,"Shut the hell up you freaking moron, nobody asked you lol"
412,7,0,0,7,2,"Looking forward to the weekend, planning to relax and recharge"
